SalePageId,SalePageTitle,SaleProductDescShortContent,GMV,TotalQty
7900793,【廠商直送】秘之湧水美媒隨身補水組(160mlx2瓶/50mlx3瓶),礦晶離子能量加倍，再添加珍貴布列塔尼晶鹽，一次提升吸收力、保水力、續航力，成分升級、效果加倍。啟動代謝、滋養活化，立即噴立即有效，解決所有肌膚問題，促進皮膚代謝，油水平衡，保持毛孔清潔，引導保養品成分深層吸收，將水、氧、營養成分導入肌膚，直接補充肌膚所需水分，讓肌膚由內而外散發自然光澤。,815.0,1
8119892,熊寶貝柔軟護衣精補充包1.75L小蒼蘭,72小時持香 散發質感香氛,814.0,11
7055344,樂品絲薄化妝棉500枚補充包 (包裝隨機出貨),超薄設計，親膚不掉屑,812.0,28
7042113,MEKO 飛吻緋唇亮澤唇膏(共6色),一抹就上色超顯色唇膏,812.0,4
7083993,美吾髮快速護髮染髮霜-6號自然亮黑(男),"食品級植萃成分, 4倍植護科技, 維護頭皮健康",812.0,4
7125504,美吾髮快速護髮染髮霜-66號深亞麻棕,"食品級植萃成分, 4倍植護科技, 維護頭皮健康",812.0,4
7488007,韓國 IM UNNY 純棉柔膚雙效化妝棉 50片/包,韓國原裝進口,810.0,9
7366839,阿薩姆奶茶400mlx6入-多款任選,經典阿薩姆奶茶加入紅潤蘋果，濃醇口味不減,810.0,9
7155671,Hananingen x Artis di Voce指甲油 15ml - 多款任選 (新舊包裝隨機出貨),結合花草和指彩創造的藝術計畫,810.0,6
7915496,MEKO 絢彩極光眼影慕斯 (多款任選),慕斯質地妝效持久,810.0,6
7156153,flicka nail x Artis di Voce 砂糖指甲油 15ml (多款任選),含有砂礫般的細緻效果,810.0,6
7268758,【即期品】Avene 雅漾抗痘調理化妝水200ml(效期:2024/12/31),"水狀粉狀雙重劑型,雙重功效",810.0,1
7267105,【廠商直送】◎蜂蜜先生蜂蜜小禮盒(50g*3入)*3組,內含3罐純蜂蜜(龍眼蜜、荔枝蜜、野花蜜)，隨機搭配,810.0,1
7044651,力度伸維他命C+D+鋅發泡錠15錠,"維他命C,D和鋅三重保護力",808.0,2
8189023,【廠商直送】JMO潤髮乳236ml-柑橘橙花,添加十八種天然植物萃取成分，滋潤修護受損髮質，恢復盈潤柔順,808.0,1
7432285,CR馬油潤澤護髮霜160g,4936201100835,807.0,3
7105722,樂扣樂扣可蒸可煮PP微波保鮮盒1.0L,透明上蓋設計，方便檢查烹飪狀態,807.0,3
7169943,自白肌水感玻尿酸防曬凝露SPF50+ 50g,全方位長效防曬科技,807.0,3
7445033,身體幻想-小蒼蘭香氛噴霧94ml,前味:萊姆、香橙、綠色大地,807.0,3
7507575,多芬植萃石榴防斷修護護髮乳470g,強韌髮 ·受損易斷髮質適用,807.0,3
7404118,Lishan馬油修護洗髮精600ml,4582425681003,807.0,3
7661084,沙龍級男仕白髮專用快速染髮霜07自然黑,4904651179084,807.0,3
7095919,興家安速小黑帽蟑螂餌劑12入裝,日本原裝進口,807.0,3
7559969,淨 日本專業養護護髮乳350g-強韌健髮,毛髪科学と皮膚科学の融合,807.0,3
7404081,MarrieneSosu美足去角質膜-玫瑰(2回分),4582174740679,807.0,3
7135945,莉婕泡沫染髮劑-午夜灰藍色(新舊包裝隨機出貨),獨家光影雙色調色技術，讓髮色在光影下呈現不同變化,807.0,3
7053419,自白肌極潤玻尿酸精華乳200ml,效多功獨特玻尿酸保濕科技,807.0,3
7111984,記憶海綿吸水地墊-3色任選,"超細纖維面料,質地綿軟,吸水性佳",807.0,3
7432309,日本花精暫時性補色噴霧黑褐色,4971616200428,807.0,3
7833055,碧菲絲特抗暗沉即淨卸妝水400ml,4902806113112,807.0,3
7105863,多芬植萃藍風鈴豐盈蓬鬆洗髮露470ml,秀髮散發夢幻蝴蝶蘭花香調,807.0,3
7599182,不銹鋼兩段式節水器,可二段式出水，使用開關調節,807.0,3
7090150,好來全亮白密泡小蘇打牙膏140g-椰油,添加食品級*小蘇打配方，能快速起出細緻泡沫，徹底溫合有效分解牙漬,805.0,7
8226803,2023年彩色週誌收支-A6-兩款任選,2023年度A6/50K週誌+收支,805.0,7
7767919,IM 自然植感斜口鼻眼影刷,●超越動物毛の優越性,801.0,9
8506050,羽絲直式丹麥夾(附名片袋)-A4-多色任選,此商品共有3種顏色,801.0,9
7944398,艾森絲歐若拉豐俏唇蜜 (多款任選),歐若拉唇蜜增加新色號！,801.0,9
7170720,韓國JudyAnn 99%蘆薈保濕舒緩凝膠300ml,"瞬間潤澤保濕,曬後不擔心",801.0,9
7309457,Tryall全分離乳清蛋白35g-綠豆沙牛奶,"市場最高蛋白質含量 ,每包含有 28g 蛋白質",800.0,16
7580721,SKB復古色中性筆 G-2506-限定五色組-兩款任選,Ⅰ－深海藍、勃艮第紅、黛綠、霧霾藍、焦糖棕色,800.0,8
7322650,Pentel飛龍 ENERGEL三色筆-多款任選,Pentel專利極速快乾墨水,800.0,5
7242567,魔幻奶油土,,800.0,5
7436159,匠心醫用級成人平面口罩古典翠舞綠30入,4719872073666,800.0,4
7088697,逸萱秀潤澤防斷裂洗髮乳700ml,毛鱗片屏護科技,800.0,4
7109330,婦潔 私密精油沐浴露舒緩淨護180ml,"植物系舒緩淨護,以植物系&胺基酸為主要洗淨成份,給您最溫和的洗淨",800.0,2
8132631,Perfect洗顏專科超微米柔滑卸妝霜90g,專科獨特的柔滑配方,800.0,2
7800391,金亮維生素C加D膠囊60粒,4976652016859,800.0,1
7759038,【廠商直送】聖保羅重芋泥蛋糕*3入,重量級重芋泥內餡腴滑紮實，蛋糕綿密細緻,800.0,1
8192714,【廠商直送】JMO洗髮精236ml-柑橘天竺葵,一款適合剛開始使用有機洗髮精的夥伴，享受最佳髮品的起泡感,800.0,1
8236987,諾得清體素液態軟膠囊30粒,,800.0,1
8590520,倍德萊維生素D3鈣60入,1+1>2的守護,800.0,1
