post_time,previous_date,previous_date_2,BullBear,return
2024-11-07,2024-11-06,2024-11-06,1,0.007702182284980671
2024-11-19,2024-11-18,2024-11-18,1,0.007812500000000111
2024-11-29,2024-11-28,2024-11-28,1,0.009316770186335315
2024-12-03,2024-12-02,2024-12-02,1,0.017054263565891386
2024-12-04,2024-12-03,2024-12-03,1,0.02286585365853659
2024-12-17,2024-12-16,2024-12-16,1,0.020061728395061686
2024-12-18,2024-12-17,2024-12-17,1,0.02118003025718617
2024-12-20,2024-12-19,2024-12-19,1,0.02245508982035928
2024-12-25,2024-12-24,2024-12-24,1,0.004457652303120315
2024-12-26,2024-12-25,2024-12-25,1,0.002958579881656847
2024-12-27,2024-12-26,2024-12-26,1,0.0029498525073746733
2024-12-30,2024-12-27,2024-12-29,1,0.008823529411764622
2025-01-02,2024-12-31,2025-01-01,1,0.007374631268436578
2025-01-14,2025-01-13,2025-01-13,1,0.01644736842105263
2025-01-17,2025-01-16,2025-01-16,1,0.09886547811993507
2025-01-20,2025-01-17,2025-01-19,1,0.06784660766961664
2025-01-22,2025-01-21,2025-01-21,1,0.01133144475920696
2025-02-05,2025-02-04,2025-02-04,1,0.035060975609756274
2025-02-11,2025-02-10,2025-02-10,1,0.0265878877400295
2025-02-12,2025-02-11,2025-02-11,1,0.004316546762589887
2025-02-18,2025-02-17,2025-02-17,1,0.020408163265306208
2025-02-19,2025-02-18,2025-02-18,1,0.005714285714285796
2025-03-05,2025-03-04,2025-03-04,1,0.01321585903083709
2025-03-18,2025-03-17,2025-03-17,1,0.011290322580645207
2025-03-20,2025-03-19,2025-03-19,1,0.025599999999999908
2025-03-26,2025-03-25,2025-03-25,1,0.0225806451612903
