post_time,volume,amount,open,high,low,close,change,transaction
2023-08-07,"211,256","13,727,080",66.40,66.40,64.60,65.30,-1.00,280
2023-08-08,"787,668","50,964,360",65.50,67.00,62.80,63.40,-1.90,669
2023-08-09,"452,600","28,340,994",63.60,64.10,61.70,62.30,-1.10,375
2023-08-10,"402,854","24,757,953",63.50,63.50,60.50,60.70,-1.60,395
2023-08-11,"575,807","35,044,236",61.00,62.30,59.40,60.50,-0.20,487
2023-08-14,"487,309","28,572,387",60.70,60.90,57.40,58.30,-2.20,479
2023-08-15,"316,617","18,546,451",58.00,59.30,57.60,58.50,+0.20,260
2023-08-16,"280,045","15,940,893",58.10,58.10,56.00,57.10,-1.40,499
2023-08-17,"362,939","20,676,024",56.80,58.10,55.70,57.00,-0.10,564
2023-08-18,"331,955","18,560,477",57.00,57.20,55.00,55.50,-1.50,499
2023-08-21,"356,206","20,183,556",56.20,57.40,55.60,57.00,+1.50,389
2023-08-22,"271,892","15,253,050",57.20,57.20,55.60,56.00,-1.00,457
2023-08-23,"324,378","18,426,702",55.80,57.80,55.80,57.00,+1.00,297
2023-08-24,"262,876","14,953,596",57.10,57.80,56.10,56.80,-0.20,239
2023-08-25,"2,711,329","162,173,776",60.00,61.90,58.20,59.10,+2.30,"2,998"
2023-08-28,"1,001,292","56,162,277",59.30,59.30,53.30,55.20,-3.90,799
2023-08-29,"332,127","18,590,669",54.60,56.60,54.50,56.60,+1.40,283
2023-08-30,"129,574","7,302,102",56.60,56.80,55.90,56.40,-0.20,223
2023-08-31,"173,958","9,631,627",55.90,56.00,54.70,55.60,-0.80,293
2023-09-01,"140,245","7,851,378",55.40,56.80,55.10,55.30,-0.30,157
2023-09-04,"106,273","5,773,461",55.20,55.20,54.00,54.30,-1.00,138
2023-09-05,"129,297","7,045,991",54.40,55.20,54.20,54.20,-0.10,135
2023-09-06,"214,414","11,424,907",54.50,54.50,52.50,52.70,-1.50,203
2023-09-07,"153,632","8,063,732",53.10,53.10,52.00,52.40,-0.30,207
2023-09-08,"45,338","2,375,226",52.40,52.70,52.10,52.40, 0.00,78
2023-09-11,"248,723","12,775,850",51.90,52.20,50.70,51.80,-0.60,250
2023-09-12,"148,122","7,731,372",51.50,53.10,51.30,51.30,-0.50,174
2023-09-13,"363,878","19,181,171",51.30,53.40,51.20,53.00,+1.70,454
2023-09-14,"114,880","6,080,057",53.10,53.40,52.60,52.60,-0.40,159
2023-09-15,"234,156","12,113,064",53.50,53.50,51.00,51.40,-1.20,375
2023-09-18,"52,637","2,695,368",51.40,51.60,50.90,51.60,+0.20,136
2023-09-19,"132,747","6,674,056",51.20,51.20,49.85,49.85,-1.75,347
2023-09-20,"119,422","5,915,909",49.70,50.40,48.60,49.55,-0.30,159
2023-09-21,"134,711","6,584,227",49.25,49.35,48.50,48.90,-0.65,193
2023-09-22,"96,456","4,743,895",48.45,49.95,48.45,49.05,+0.15,112
2023-09-25,"99,445","4,967,802",49.90,50.40,49.45,50.00,+0.95,122
2023-09-26,"119,788","5,882,450",50.00,50.00,48.50,48.50,-1.50,186
2023-09-27,"108,134","5,297,416",48.70,49.50,48.70,48.90,+0.40,111
2023-09-28,"175,770","8,765,560",49.30,50.60,49.00,50.50,+1.60,186
2023-10-02,"84,420","4,178,279",50.20,50.20,49.15,49.35,-1.15,143
2023-10-03,"217,968","10,512,788",49.15,49.20,47.50,47.50,-1.85,312
