SalePageId,SalePageTitle,SaleProductDescShortContent,GMV,TotalQty
7534173,【超值加價購】100%純棉植物纖維潔膚巾 (珍珠紋加厚版100pcs),｜100%純棉植物纖維潔膚巾｜,289377.0,2923
7714311,密羅木瞬效賦活精華露100ml保濕肌膚能量滿分（一瓶）,不含MI/MCI、Paraben類防腐劑、人工香精、色素,285300.0,634
7381850,神奇的檸檬~對付水垢用的泡泡噴霧500g（1個慕絲噴霧瓶）任選三件85折,特殊檸檬酸泡泡配方，能有效將水垢緊緊包覆，破壞及軟化水垢，速效除垢，無異味不傷手，水垢一噴即BYE，光亮超有感。,284570.0,1430
8593208,【熱導緊膚體驗組】熱療撫紋導入儀（音波震動版）+黃金胜肽賦活精華-10ml隨身瓶+頂級藍銅肌因修復精華-7ml隨身瓶+一夜透亮活膚精露-10ml隨身瓶+(藍銅玻尿酸保濕修復精華-10ml隨身瓶/高濃縮褪黑美白精華-10ml隨身瓶) 2擇1+手提收納包,｜熱療撫紋導入儀（音波震動版）｜,279680.0,76
6378642,玫瑰純露洗髮精 480g（單瓶）另有精油洗髮任選兩瓶490元專區,●適合一般及中乾性髮質,274240.0,857
4913842,千金方洗髮露550g+九蒸九曝  髮翳淨髮露550g（方瓶）,"千金方:無矽靈,去屑控油 一洗搞定",273884.0,916
7260926,黃金胜肽緊緻電波眼霜(高保濕震動導入版)(兩入)【黃金電熨斗．一代女王推薦】,※眼霜有「冰鎮陶瓷按摩頭」與「鋅合金按摩頭」，兩款皆屬TRUU正確商品，使用功效相同。,272676.0,124
8541006,【新春購｜+$188多一件】頂級藍銅肌因修復精華+冰原花后賦活修護乳霜-10G隨身瓶【鄭亦真．夏宇禾推薦】,｜頂級藍銅肌因修復精華｜,272448.0,86
7534159,蜂王乳極潤修護精華露-30ML隨身瓶【國際名模推薦】,｜蜂王乳極潤修護精華露｜,269325.0,675
6042655,古寶無患子 薑萃草本滋養洗髮精華露550g（單瓶優惠-方瓶任選兩瓶299元）,無患子植物性皂素豐富細緻泡沫，溫和不易刺激肌,265864.0,1336
8512357,【聖誕限定買4送2】藍銅玻尿酸保濕修復精華+76酵母胺基酸淨膚潔顏露+蜂王乳極潤修護精華露+99控油保濕平衡乳 送 超導水藍銅修復面膜30g【小姐不熙娣+76酵母胺基酸淨膚潔顏露30g．鍾明軒推薦】,｜藍銅玻尿酸保濕修復精華｜,263952.0,48
7859776,【毛孔專家】琥珀酸喚膚粉刺泥膜,｜琥珀酸喚膚粉刺泥膜｜,262440.0,243
7865933,蟲新導航~居家三蟲最害怕的精油噴霧300ml（兩瓶優惠）,蟑螂：2小時／24小時，具有100%／93%忌避效果,258720.0,539
7698799,【生物纖維面膜】冰原花后修復安瓶面膜 10入（1片＝5安瓶）,｜冰原花后修復安瓶面膜｜,257871.0,129
7379860,保濕活潤晨間組｜黃金胜肽賦活精華＋黃金胜肽緊緻電波眼霜(高保濕震動導入版)+雙精萃蜂王奇蹟日霜SPF35★★【11點熱吵店．夏宇禾推薦】,※眼霜有「冰鎮陶瓷按摩頭」與「鋅合金按摩頭」，兩款皆屬TRUU正確商品，使用功效相同。,257760.0,72
